Id,LookupId,Number,Aircraft_RegistrationNumber,StartDate,EndDate,StartTime,EndTime,Status_Name,TermsAndConditions,Created,LastUpdated,IsActive,Notes,EstimatedInventoryCostSubTotal,EstimatedLaborCostSubTotal,EstimatedAdditionalCostSubTotal,EstimatedTotalCost,ActualInventoryCostSubTotal,ActualLaborCostSubTotal,ActualAdditionalCostSubTotal,ActualTotalCost,OpenLineItemCount,InReviewLineItemCount,RequireSignatureLineItemCount,ClosedLineItemCount,LineItemCount,EstimatedHours,CompletedHours,RemainingHours,ClosedLineItemPercent,CompletedHoursPercent,ContactName,ContactEmail,ContactPhone,ReferenceField,FlightDocsURL
134715,d97e9abc-d730-4325-8d68-4745290e87b4,WO852-2-20-23DG,N852JS,2023-02-20,2023-02-21,2023-02-21T02:40:00Z,2023-02-22T04:00:00Z,Closed,,2023-02-21T02:47:37.21Z,2023-02-28T14:11:15.5259941Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,,,,100,0,,,,,https://app2.flightdocs.com/#/work-orders/work-order/detail/134715
136927,269e04f5-5cf0-40b4-8b3c-7a51ffe6333d,WO851-3-30-23CW,N851JS,2023-03-30,,,,Draft,,2023-03-15T16:35:16.913Z,2023-03-15T16:45:58.8854733Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,9,0.0,0.0,0.0,0,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/136927
135855,4ba21ff8-8bd6-4413-aa87-8dc66f9e41e8,WO847-3-3-23GR,N847JS,2023-03-03,,,,Closed,,2023-03-03T18:39:32.293Z,2023-03-08T12:04:32.3784711Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6,6,,,,100,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/135855
135827,1022e444-91cf-42e6-b95b-ef033c07815e,WO847-3-13-23GR,N847JS,2023-03-13,,,,Draft,,2023-03-03T13:36:34.087Z,2023-03-21T12:00:11.0895068Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,0,0,0,116,,0.0,,0,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/135827
137244,1a07cf88-e0cc-4f09-a053-01fb01482d23,WO846-4-29-23JL,N846JS,2023-04-29,2023-04-30,,,Draft,,2023-03-19T22:09:06.603Z,2023-03-19T22:11:28.7259289Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,9,0.0,0.0,0.0,0,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/137244
136687,c8b67778-bc34-4907-9b43-b393460f34fb,WO846-3-13-23DG,N846JS,2023-03-13,2023-03-15,2023-03-13T23:30:00Z,2023-03-16T02:00:00Z,Closed,,2023-03-13T23:34:50.54Z,2023-03-22T13:57:31.866691Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,4,0.0,0.0,0.0,100,0,,,,,https://app2.flightdocs.com/#/work-orders/work-order/detail/136687
137238,459cce09-2310-4816-941d-ea723f19c1e3,WO845-4-24-23JL,N845JS,2023-04-24,2023-04-26,,,Draft,,2023-03-19T20:45:23.91Z,2023-03-19T20:53:47.6345801Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,10,,0.0,,0,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/137238
137237,6d85207b-2490-4b9c-bb5a-14a75509064a,WO845-2-28-23BS,N845JS,2023-02-28,2023-03-20,,,Draft,,2023-03-19T20:36:48.51Z,2023-03-19T20:44:28.8563272Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,0,0,0,116,,0.0,,0,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/137237
135324,4b3dbfb2-bbed-4a99-b82d-01e51e4ad018,WO844-3-29-23CW,N844JS,2023-03-29,,,,Draft,,2023-02-27T19:50:14.933Z,2023-03-03T01:42:18.2140028Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0,0,0,39,,0.0,,0,0,,,,,https://app2.flightdocs.com/#/work-orders/work-order/detail/135324
137236,e57ff3f9-4e5e-4e56-84ea-4cacc3d6c622,WO843-5-10-23JL,N843JS,2023-05-10,2023-05-12,,,Draft,,2023-03-19T20:18:41.5Z,2023-03-21T00:53:15.471122Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0,0,0,41,,0.0,,0,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/137236
135946,a11fa9b3-3c35-4c1e-9e4f-bb092940a8a9,WO843-3-8-23GR,N843JS,2023-03-08,,,,Draft,,2023-03-05T17:34:13.537Z,2023-03-05T17:35:35.9930318Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0,0,0,55,,0.0,,0,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/135946
137213,f0637290-a179-46ce-9cb7-97670351a68c,WO842-4-16-23JL,N842JS,2023-04-16,2023-05-07,,,Draft,,2023-03-19T00:35:45.957Z,2023-03-19T00:39:11.0950061Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,0,26,,0.0,,0,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/137213
